concept,lang,word,codeO
abrigo,es,refugio,0.632–0.600–0.500
abrigo,de,schutz,0.686–0.500–0.500
abrigo,fr,refuge,0.751–0.500–0.500
abrigo,pt,abrigo,0.754–0.700–0.500
abrigo,fr,abri,0.759–0.700–0.500
abrigo,es,abrigo,0.788–0.700–0.500
abrigo,es,proteccion,0.789–0.700–0.500
abrigo,de,unterkunft,0.848–0.900–0.500
abrigo,de,asyl,0.851–0.700–0.500
abrigo,en,refuge,0.888–0.500–0.500
abrigo,it,protezione,0.893–0.600–0.500
abrigo,it,rifugio,0.894–0.600–0.500
abrigo,it,riparo,0.904–0.700–0.500
abrigo,en,shelter,0.992–0.500–0.500
abrigo,fr,protection,1.021–0.900–0.500
abrigo,en,protection,1.036–0.900–0.500
abrigo,pt,protecao,1.085–0.800–0.500
abrigo,pt,refugio,1.126–0.600–0.500
agua,fr,eau,0.213–0.900–0.500
agua,de,Meer,0.240–0.800–0.500
agua,fr,eaux,0.271–0.600–0.500
agua,fr,mer,0.353–0.800–0.500
agua,de,Bach,0.357–0.500–0.500
agua,es,mar,0.378–0.800–0.500
agua,de,Fluss,0.477–0.600–0.500
agua,en,sea,0.482–0.700–0.500
agua,pt,mar,0.516–0.800–0.500
agua,it,acque,0.532–0.800–0.500
agua,en,river,0.622–0.900–0.500
agua,en,waters,0.693–0.600–0.500
agua,es,arroyo,0.699–0.500–0.500
agua,it,mare,0.730–0.800–0.500
agua,it,ruscello,0.755–0.900–0.500
agua,es,aguas,0.786–0.700–0.500
agua,de,Wasser,0.808–0.700–0.500
agua,it,acqua,0.809–0.500–0.500
agua,es,agua,0.829–0.800–0.500
agua,fr,ruisseau,0.945–0.900–0.500
agua,pt,riacho,1.033–0.500–0.500
agua,pt,água potável,1.106–0.600–0.500
agua,en,water,1.122–0.700–0.500
agua,pt,água,1.205–0.600–0.500
amor,de,Liebe,0.516–0.800–0.500
amor,en,passion,0.630–0.600–0.500
amor,en,affection,0.632–0.700–0.500
amor,de,Hingabe,0.638–0.900–0.500
amor,pt,afeto,0.675–0.800–0.500
amor,fr,passion,0.683–0.600–0.500
amor,fr,affection,0.709–0.700–0.500
amor,es,amor,0.710–0.600–0.500
amor,it,affetto,0.717–0.900–0.500
